Calories,Duration,BPM,Intensity
286.9598505,37,170,5
343.4530361,43,142,5
261.2234649,20,148,4
127.1838584,39,170,10
416.3183735,34,118,3
479.7226901,41,169,10
457.6313614,53,103,10
272.9569819,25,104,2
195.0322726,37,161,1
259.5311447,55,103,10
248.5361176,52,151,3
376.5526493,28,158,6
311.1060239,48,173,4
497.549588,43,121,1
451.8532602,59,174,4
325.056217,42,105,9
216.8663933,46,119,7
377.1229305,26,126,9
457.6203214,23,129,2
103.3354905,59,149,8
335.1512709,55,114,7
131.4575318,37,135,2
187.2145211,26,117,3
129.0192376,26,145,9
293.464795,36,135,7
344.1352887,57,159,2
297.6813903,39,133,1
126.4961165,33,118,6
279.7251573,21,164,10
214.2193561,48,155,1
115.3368677,26,154,7
444.6904555,37,168,2
261.0427782,47,111,8
343.2067297,31,170,4
483.4970362,49,121,9
364.4688538,43,103,7
353.2051257,51,155,10
182.3335938,25,106,5
316.0366931,31,157,1
280.5911131,27,150,4
240.9247871,53,162,5
455.6056505,60,153,1
119.4725546,37,168,9
121.0886855,36,159,7
207.9759501,59,177,2
355.6478253,28,126,2
176.4886037,36,151,7
453.4353571,52,158,6
120.0669036,34,174,2
379.3709879,54,137,2
244.9790358,21,129,7
447.7851241,39,124,3
117.819875,32,146,3
217.7570965,50,136,7
371.1216261,52,146,3
441.770923,20,108,1
277.7292176,53,103,5
168.6552217,38,136,8
126.6017619,26,112,1
283.2182582,21,101,8
301.4196335,48,119,6
318.4410057,21,164,4
141.0364555,25,156,10
170.5211824,39,174,2
151.3656289,35,121,7
365.6369757,30,151,4
127.9066818,52,172,2
111.4136934,23,147,4
455.756085,40,118,1
324.9529154,41,171,10
224.7566667,26,139,7
251.9707701,34,107,2
346.4365542,49,127,8
233.3392462,30,153,6
222.7406397,53,166,4
254.9823965,27,128,2
387.9547256,34,118,4
129.4225026,51,176,9
211.9936538,36,125,3
187.1540026,28,146,2
362.8855991,44,145,9
145.4125641,42,110,10
305.3738804,46,103,2
472.5085347,45,143,10
364.7305563,24,176,1
218.439501,55,156,2
120.509324,46,110,7
194.3341766,42,121,4
169.705561,51,152,6
178.0728415,52,108,7
299.8187299,32,137,8
443.5856836,40,139,5
271.0956442,22,180,3
413.8854243,36,109,5
176.433223,27,166,8
147.1726527,56,115,6
408.4146909,23,154,7